199_40_Pancreas	199_41_Liver	199_42_Stomach	199_43_Duodenum	199_44_Jejunum	199_45_Ileum	199_46_Colon	199_47_Kidneys	199_48_Quadriceps	199_49_Thymus	199_50_Heart	199_51_Esophagus	199_52_Brain	199_53_Pancreas	199_54_Liver	199_55_Stomach	199_56_Duodenum	199_57_Jejunum	199_58_Ileum	199_59_Colon	199_60_Kidneys	199_61_Quadriceps	199_62_Thymus	199_63_Heart	199_64_Esophagus	199_65_Brain	199_66_Pancreas	199_67_Liver	199_68_Stomach	199_69_Duodenum	199_70_Jejunum	199_71_Ileum	199_72_Colon	199_73_Kidneys	199_74_Quadriceps	199_75_Thymus	199_76_Heart	199_77_Esophagus	199_78_Brain	199_79_Unknown
ENSRNOG00000000075	0.00581929347217664	0.298271693341477	0.649238383620579	0.942967150298612	1.05652969231217	1.63221954984072	1.06646455128675	0.720300907435785	0.602704137516542	8.59952651779527	0.449829597086013	0.7595365707207	1.798970615879	0.189803989118793	0.262119741859112	0.702323972311968	0.86304441524795	1.64219750078403	1.32221229079164	1.7749707723171	0.840590726992253	0.476955964702961	12.4478417269459	0.419744549793194	0.765093205446226	1.7132190183885	0.117315055656499	0.403315624285797	0.692505900602049	0.902226099198695	1.35094118389921	3.93585735711582	1.81363678157678	0.920563996577417	0.405255734824459	12.5712652307884	0.456953954958004	0.966638919714678	1.626351491568	0.68966637696304
ENSRNOG00000000081	0.0102076131397197	1.77759828397284	0.669586431581943	1.53842921518451	1.4258948004721	2.01946765886253	2.71525362891209	0.516003754139938	2.02371766770128	0.339776406479495	2.34961683860411	2.61782849015782	0.383678761296227	0.625796281972351	2.65021003237335	0.593499986537225	1.6707280055148	2.19176651873545	1.87563050456204	3.83927121712043	0.68447872140495	0.972915306206644	2.96012579017261	2.09872274896597	4.07887490808996	0.515509859473497	0.173873726556808	2.21249737458906	0.684433825806537	0.724814214739791	1.72698851170361	4.74578844821566	2.35647796391872	0.760354904436018	0.627780927894402	2.3271036221504	2.58420022670158	3.98799711942301	0.464251565429506	0.442194141789294
ENSRNOG00000000082	0.0219415983377152	0.355460240122587	1.36142006226831	3.13774412207515	3.50630133964861	7.56913904706582	3.94595113729433	1.09440728256981	0.355214688135712	3.84880306078025	6.61049122796078	1.20234400618573	2.18753575976942	0.259530271185048	0.464704929425207	1.12178609257319	4.45370531292269	8.55159986831825	6.05543587409296	6.32216492962538	1.47260293930291	0.264175730525184	6.46001923304098	4.55366114289156	1.20169341718655	2.32296186292704	0.198839077383897	0.919947582288766	1.39725010815213	3.65160050404603	5.47718911308126	5.09978579009225	4.58476163493218	1.50523144040818	0.192611526604945	6.59349245220289	5.70588150948749	1.33882635626426	1.93251824004095	0.867604088128253
ENSRNOG00000000091	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000000095	0.384931953446438	3.22677091357416	2.33175064271921	5.37833757686056	6.85628930529694	3.68276074648363	3.09701047313406	2.98773626547466	1.3799974550841	3.10242965582344	1.384867094439	2.43893360472562	3.15836225358417	1.03197217800224	4.24724541415474	1.83766274375476	6.83438313557053	3.44680835066949	7.86847178296644	3.13864828713068	2.84107756147698	1.04446589916088	3.08287295267454	0.83068046992459	1.8376489007685	3.37377842747594	0.699471687774909	3.80506872948432	2.16787286161397	4.23061069879948	8.16677794978711	3.68083099982672	3.44553830733529	2.74557533803277	1.07959911187705	3.80421280151851	1.2998404923798	2.58888688259086	3.65929085602801	3.28440203601831
ENSRNOG00000000096	0.0768909924356454	2.93949130454905	0.263168086966971	22.3383514300602	28.5423048196531	23.2917245702134	0.592659737011263	70.9999829942348	0.292374965528697	0.483188526097464	0.520862596441531	0.427814340304997	0.808794046991231	0.179478466483357	4.31432660209054	0.275750050267691	22.9875678955264	42.8203283122384	29.4673913516828	0.905557362624611	99.7779422597473	0.19823977162571	0.701098206668154	0.223018487346399	0.444595279312005	0.884721029948947	0.113227807954719	3.9225879514706	0.344495321111679	8.75002551411036	21.0313688222933	0.622738779426877	0.365159501002887	100.818592345567	0.58839234444954	0.606062840593242	0.536937871591069	0.366945359978457	0.805526480447394	0.727651661403273
ENSRNOG00000000097	0	0	0	0.246739265639072	0.383428462387465	0.335250681479769	0.0855884633830979	0.040917884780284	0	0.104958760072052	0.0171363656032767	0	0.027950108438798	0.0169384978064448	0	0	0.318202982296084	0.607341301449412	0.970137398669322	0.169324626790406	0.130039691252104	0	0.307267734145695	0	0.022594756180829	0.0291013630347942	0	0	0.0525986809255927	0.407078706150676	0.671260478561736	1.02399754652783	0.0966101917546954	0.0189889262597872	0	0.643917626047759	0.0141227968248536	0.0379176871977739	0	0.0188033467827069
ENSRNOG00000000098	0.0998819715634253	3.4648832265355	4.79779840198342	9.97581615759006	11.5230598403417	12.8597601881452	5.6769374373008	5.84175872889947	2.42923508945098	10.5682124499575	5.94079100446498	4.76098921763554	8.45813281524856	0.964682255209511	2.41022708253305	4.70559745147805	8.93988031791641	11.0895118715614	11.2298173383429	6.45356511319144	4.38191915064486	3.5939416549486	11.2001787934369	4.86303089374073	7.77833171815878	8.37822302718044	0.949125196045803	2.85764072389752	6.12683496454819	11.8721942882409	8.88771776632569	9.80628238674883	9.71675582455879	4.61079852333237	3.77995045113822	11.374783619101	6.01454609778453	5.37487584425587	8.18373323512723	5.61917196103079
ENSRNOG00000000104	0.24021280267116	1.27537886405873	1.4219215915401	2.09949086425646	2.10109745114345	2.82175829763433	2.86963583833519	1.75040865677943	1.35058970312515	8.62663298436043	1.62975128676969	2.63656985910786	3.09405745864456	0.524861397783262	1.31764223402882	1.26388794329508	2.18082686795066	2.45654258986572	2.22218698144733	3.57807329125131	1.86497517602647	1.1998041080092	9.29060078656662	1.37187733778195	2.21289565918704	3.10850069641047	0.391050185521664	1.2060672836859	1.68784480079056	1.70453056232284	2.23287573638988	4.86755612026431	3.41766998279067	1.79102275915842	1.36750123210805	9.39745048908392	1.44880883965734	2.65703387801543	3.03911195873688	1.61342811152287
ENSRNOG00000000105	0.0181256681920256	0.136509803874909	0.314987782441911	0.181439361284253	0.19333070869115	0.333845345600254	1.53138754389041	0.461203015594915	0.249656336367278	0.00504306354700549	0.372439558877667	0.346885701657098	44.9240333839066	0.0907253786619167	0.142379821393721	0.339622081375925	0.360575930448777	0.598390665977891	0.369260813860483	1.79526836164844	0.520158765008417	0.114740085683145	0.0895614475584069	0.317377595996253	0.4432048327778	53.9123536907444	0.0850589386586671	0.175713059558582	0.323013186575237	0.136754994270405	0.33748268917153	0.466498067802812	0.963568433497443	0.499456631875076	0.109773681009565	0.0614174580333495	0.316133375079415	0.571386346252168	63.118991667567	8.78040576577446
